Date,Open,High,Low,Close,Adj Close,Volume,percentage change
2020-07-23,335.790009,337.799988,296.153992,302.614014,302.614014,121642500,-9.879982760297077
2020-07-24,283.201996,293.000000,273.308014,283.399994,283.399994,96983000,0.06991405526675176
2020-07-27,287.000000,309.588013,282.600006,307.920013,307.920013,80243500,7.289203135888496
2020-07-28,300.799988,312.940002,294.884003,295.298004,295.298004,79043500,-1.8291170942466906
2020-07-29,300.200012,306.962006,297.399994,299.821991,299.821991,47134500,-0.12592304626556436
2020-07-30,297.600006,302.648010,294.200012,297.497986,297.497986,38105000,-0.03428091328734106
2020-07-31,303.000000,303.410004,284.196014,286.152008,286.152008,61041000,-5.560393399339926
2020-08-03,289.839996,301.962006,288.876007,297.000000,297.000000,44046500,2.470329871243862
2020-08-04,299.002014,305.481995,292.399994,297.399994,297.399994,42075000,-0.5357890331802186
2020-08-05,298.597992,299.967987,293.661987,297.003998,297.003998,24739000,-0.5338260948519549
2020-08-06,298.165985,303.462006,295.451996,297.915985,297.915985,29961500,-0.08384591555606184
2020-08-07,299.907990,299.950012,283.002014,290.541992,290.541992,44482000,-3.122957144289484
2020-08-10,289.600006,291.500000,277.167999,283.713989,283.713989,37611500,-2.032464391592582
2020-08-11,279.200012,284.000000,273.000000,274.877991,274.877991,43129000,-1.5480017242979225
2020-08-12,294.000000,317.000000,287.000000,310.951996,310.951996,109147000,5.7659850340136085
2020-08-13,322.200012,330.235992,313.451996,324.200012,324.200012,102126500,0.6207324411893567
2020-08-14,332.997986,333.760010,325.328003,330.141998,330.141998,62888000,-0.8576592412183611
2020-08-17,335.399994,369.171997,334.566010,367.127991,367.127991,101211500,9.459748827544706
2020-08-18,379.798004,384.779999,369.022003,377.417999,377.417999,82372500,-0.6266502127272852
2020-08-19,373.000000,382.200012,368.242004,375.705994,375.705994,61026500,0.7254675603217093
2020-08-20,372.135986,404.398010,371.411987,400.365997,400.365997,103059000,7.585939565651141
2020-08-21,408.951996,419.097992,405.010010,409.996002,409.996002,107448000,0.255288153673657
2020-08-24,425.256012,425.799988,385.503998,402.839996,402.839996,100318000,-5.2711814454018855
2020-08-25,394.977997,405.589996,393.600006,404.667999,404.667999,53294500,2.4533017215133612
2020-08-26,412.000000,433.200012,410.726013,430.634003,430.634003,71197000,4.522816262135923
2020-08-27,436.092010,459.119995,428.500000,447.750000,447.750000,118465000,2.67328676808364
2020-08-28,459.023987,463.697998,437.303986,442.679993,442.679993,100406000,-3.5605969323777305
2020-08-31,444.609985,500.140015,440.109985,498.320007,498.320007,118374400,12.080255462548818
2020-09-01,502.140015,502.489990,470.510010,475.049988,475.049988,89841100,-5.3949150019442325
2020-09-02,478.989990,479.040009,405.119995,447.369995,447.369995,96176100,-6.60138951964319
2020-09-03,407.230011,431.799988,402.000000,407.000000,407.000000,87596100,-0.05648183920315009
2020-09-04,402.809998,428.000000,372.019989,418.320007,418.320007,110321900,3.850452838064851
2020-09-08,356.000000,368.739990,329.880005,330.209991,330.209991,115465700,-7.244384550561797
2020-09-09,356.600006,369.000000,341.510010,366.279999,366.279999,79465800,2.7145240709838823
2020-09-10,386.209991,398.989990,360.559998,371.339996,371.339996,84930600,-3.8502357128301266
2020-09-11,381.940002,382.500000,360.500000,372.720001,372.720001,60717500,-2.4139919756297137
2020-09-14,380.950012,420.000000,373.299988,419.619995,419.619995,83020600,10.150933661080972
2020-09-15,436.559998,461.940002,430.700012,449.760010,449.760010,97298200,3.0236421249021572
2020-09-16,439.869995,457.790009,435.309998,441.760010,441.760010,72279300,0.4296758181926015
2020-09-17,415.600006,437.790009,408.000000,423.429993,423.429993,76779200,1.8840199439265688
2020-09-18,447.940002,451.000000,428.799988,442.149994,442.149994,86406800,-1.2925856083735072
